,Job Title,Link
0,Appliance Manual Collector and PDF Organizer,https://www.upwork.com/jobs/Appliance-Manual-Collector-and-PDF-Organizer_~021844060024924281659/?referrer_url_path=/nx/search/jobs/
1,Flutter Developer,https://www.upwork.com/jobs/Flutter-Developer_~021843977217997377320/?referrer_url_path=/nx/search/jobs/
2,Data mining/market research,https://www.upwork.com/jobs/Data-mining-market-research_~021843855712127428907/?referrer_url_path=/nx/search/jobs/
3,Scraping Users Tweets,https://www.upwork.com/jobs/span-class-highlight-Scraping-span-Users-Tweets_~021843808920976745908/?referrer_url_path=/nx/search/jobs/
4,Expert in web-based database extraction/ web scrapping,https://www.upwork.com/jobs/Expert-span-class-highlight-web-span-based-database-extraction-span-class-highlight-web-span-scrapping_~021843742064633005281/?referrer_url_path=/nx/search/jobs/
5,Database Creation for Small Businesses in Colorado Springs,https://www.upwork.com/jobs/Database-Creation-for-Small-Businesses-Colorado-Springs_~021843694686059973100/?referrer_url_path=/nx/search/jobs/
6,Python Developer for Automation Efforts,https://www.upwork.com/jobs/Python-Developer-for-Automation-Efforts_~021843636910223957413/?referrer_url_path=/nx/search/jobs/
7,Web Scraping Job with hcaptcha challenge,https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-Scraping-span-Job-with-hcaptcha-challenge_~021843635221642580877/?referrer_url_path=/nx/search/jobs/
8,Linkedin Profiles Search and Update,https://www.upwork.com/jobs/Linkedin-Profiles-Search-and-Update_~021843480548630838809/?referrer_url_path=/nx/search/jobs/
9,Virtual Assistant for Digital Marketing,https://www.upwork.com/jobs/Virtual-Assistant-for-Digital-Marketing_~021843472564086042382/?referrer_url_path=/nx/search/jobs/
10,Data Scraping & Web Crawling Expert - Who can create Data Base for New Zealand Businesses,https://www.upwork.com/jobs/Data-span-class-highlight-Scraping-span-amp-span-class-highlight-Web-span-Crawling-Expert-Who-can-create-Data-Base-for-New-Zealand-Businesses_~021843435964161010676/?referrer_url_path=/nx/search/jobs/
11,AWS-WAF Token Gen,https://www.upwork.com/jobs/AWS-WAF-Token-Gen_~021843378257629656701/?referrer_url_path=/nx/search/jobs/
12,Web scrapping,https://www.upwork.com/jobs/span-class-highlight-Web-span-scrapping_~021843332416826216950/?referrer_url_path=/nx/search/jobs/
13,Developer Scraping Worldwide,https://www.upwork.com/jobs/Developer-span-class-highlight-Scraping-span-Worldwide_~021843332020670379353/?referrer_url_path=/nx/search/jobs/
14,Apollo Scraping expert,https://www.upwork.com/jobs/Apollo-span-class-highlight-Scraping-span-expert_~021843305871030435572/?referrer_url_path=/nx/search/jobs/
15,Pull data for all films in the Horror genre from IMDb,https://www.upwork.com/jobs/Pull-data-for-all-films-the-Horror-genre-from-IMDb_~021843286255002777463/?referrer_url_path=/nx/search/jobs/
16,"Data Entry, data scraping for lead generation from tools",https://www.upwork.com/jobs/Data-Entry-data-span-class-highlight-scraping-span-for-lead-generation-from-tools_~021843220871813392925/?referrer_url_path=/nx/search/jobs/
17,Using Python to scrap names & company names + find email addresses ,https://www.upwork.com/jobs/Using-Python-scrap-names-company-names-find-email-addresses_~021843130489024289787/?referrer_url_path=/nx/search/jobs/
18,Phone Number extractor,https://www.upwork.com/jobs/Phone-Number-extractor_~021842966333018374611/?referrer_url_path=/nx/search/jobs/
19,Medicare Data Analyst for Identifying Target Regions with High Senior Populations,https://www.upwork.com/jobs/Medicare-Data-Analyst-for-Identifying-Target-Regions-with-High-Senior-Populations_~021843007576657488413/?referrer_url_path=/nx/search/jobs/
20,Python related(Top Urgent) task,https://www.upwork.com/jobs/Python-related-Top-Urgent-task_~021842965214244878200/?referrer_url_path=/nx/search/jobs/
21,Python related task,https://www.upwork.com/jobs/Python-related-task_~021842893844429210947/?referrer_url_path=/nx/search/jobs/
22,Telegram bot,https://www.upwork.com/jobs/Telegram-bot_~021842849751969648547/?referrer_url_path=/nx/search/jobs/
23,Trading bot for trading options in Indian stock market,https://www.upwork.com/jobs/Trading-bot-for-trading-options-Indian-stock-market_~021842786821184691195/?referrer_url_path=/nx/search/jobs/
24,Data Entry Specialist for Health-Related Research (Skin Issues),https://www.upwork.com/jobs/Data-Entry-Specialist-for-Health-Related-Research-Skin-Issues_~021842653931488930245/?referrer_url_path=/nx/search/jobs/
25,Develop a bet365 Odds scanner via Web Socket,https://www.upwork.com/jobs/Develop-bet365-Odds-scanner-via-span-class-highlight-Web-span-Socket_~021842502048029613051/?referrer_url_path=/nx/search/jobs/
26,Data visualization expert,https://www.upwork.com/jobs/Data-visualization-expert_~021842489049809735036/?referrer_url_path=/nx/search/jobs/
27,Flights scraper for all award flights data,https://www.upwork.com/jobs/Flights-scraper-for-all-award-flights-data_~021840959483235246574/?referrer_url_path=/nx/search/jobs/
28,Web scraping,https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-scraping-span_~021842341269816542531/?referrer_url_path=/nx/search/jobs/
29,Apollo Scraping expert,https://www.upwork.com/jobs/Apollo-span-class-highlight-Scraping-span-expert_~021842325210831776197/?referrer_url_path=/nx/search/jobs/
30,Build WebScraper.io Sitemaps (Web Scraping Project),https://www.upwork.com/jobs/Build-span-class-highlight-Web-span-Scraper-Sitemaps-span-class-highlight-Web-span-span-class-highlight-Scraping-span-Project_~021842277875582251126/?referrer_url_path=/nx/search/jobs/
31,Jobs Data Scraping Project,https://www.upwork.com/jobs/Jobs-Data-span-class-highlight-Scraping-span-Project_~021842225669404195134/?referrer_url_path=/nx/search/jobs/
32,Tableau CRM consulting,https://www.upwork.com/jobs/Tableau-CRM-consulting_~021842193136920645539/?referrer_url_path=/nx/search/jobs/
33,EAN Barcode Prices,https://www.upwork.com/jobs/EAN-Barcode-Prices_~021842183051979079306/?referrer_url_path=/nx/search/jobs/
34,Automation of Property Listings on Real Estate Portals with Make,https://www.upwork.com/jobs/Automation-Property-Listings-Real-Estate-Portals-with-Make_~021842153671130048683/?referrer_url_path=/nx/search/jobs/
35,Node.js  & Puppeteer AWS/WAF Captcha Solving,https://www.upwork.com/jobs/Node-Puppeteer-AWS-WAF-Captcha-Solving_~021841970356430100270/?referrer_url_path=/nx/search/jobs/
36,Docparser expert,https://www.upwork.com/jobs/Docparser-expert_~021841907030608604272/?referrer_url_path=/nx/search/jobs/
37,E-commerce scraping,https://www.upwork.com/jobs/commerce-span-class-highlight-scraping-span_~021841898225918436083/?referrer_url_path=/nx/search/jobs/
38,Generate a list of prospects/leads,https://www.upwork.com/jobs/Generate-list-prospects-leads_~021841224932631414691/?referrer_url_path=/nx/search/jobs/
39,Telegram scraping,https://www.upwork.com/jobs/Telegram-span-class-highlight-scraping-span_~021841811569643031156/?referrer_url_path=/nx/search/jobs/
40,Data Mining for Five Star Luxury Travel,https://www.upwork.com/jobs/Data-Mining-for-Five-Star-Luxury-Travel_~021841837876326557958/?referrer_url_path=/nx/search/jobs/
41,LinkedIn Scrapper for extracting Millions of Data,https://www.upwork.com/jobs/LinkedIn-Scrapper-for-extracting-Millions-Data_~021841724563604879266/?referrer_url_path=/nx/search/jobs/
42,Dynamic web site scraping,https://www.upwork.com/jobs/Dynamic-span-class-highlight-web-span-site-span-class-highlight-scraping-span_~021841695826778895779/?referrer_url_path=/nx/search/jobs/
43,Web Scraper API that Downloads Spotify Podcast Episodes,https://www.upwork.com/jobs/span-class-highlight-Web-span-Scraper-API-that-Downloads-Spotify-Podcast-Episodes_~021841629675560273827/?referrer_url_path=/nx/search/jobs/
44,Looking for someone who can web scrape information from Broker Websites in NYC,https://www.upwork.com/jobs/Looking-for-someone-who-can-span-class-highlight-web-span-span-class-highlight-scrape-span-information-from-Broker-Websites-NYC_~021841586689375029571/?referrer_url_path=/nx/search/jobs/
45,Data Scraping Veterinary Website,https://www.upwork.com/jobs/Data-span-class-highlight-Scraping-span-Veterinary-Website_~021841551137165096253/?referrer_url_path=/nx/search/jobs/
46,Web scraping,https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-scraping-span_~021841543777660188718/?referrer_url_path=/nx/search/jobs/
47,Wholesale house lead generation specialist ,https://www.upwork.com/jobs/Wholesale-house-lead-generation-specialist_~021841333940659375189/?referrer_url_path=/nx/search/jobs/
48,List Building for Distribution Company,https://www.upwork.com/jobs/List-Building-for-Distribution-Company_~021841190274895213220/?referrer_url_path=/nx/search/jobs/
49,Use scraping browsers to scrape 100-200 links (same layout/fields) each minute cost efficiently,https://www.upwork.com/jobs/Use-span-class-highlight-scraping-span-browsers-span-class-highlight-scrape-span-100-200-links-same-layout-fields-each-minute-cost-efficiently_~021841172846768403875/?referrer_url_path=/nx/search/jobs/
